127.0.0.1 - - [26/Apr/2023:10:23:16 +0900] "GET / HTTP/1.1" 200 17323
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET / HTTP/1.1" 200 17323
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/logo.jpg HTTP/1.1" 200 71699
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/main-slide-ad1.jpg HTTP/1.1" 200 308588
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/main-slide-ad2.jpg HTTP/1.1" 200 1620458
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/main-slide-ad3.jpg HTTP/1.1" 200 143559
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/mini-ad1.jpg HTTP/1.1" 200 308428
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/logo2.png HTTP/1.1" 200 24561
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /resources/img/newYearAD.jpg HTTP/1.1" 200 531063
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /upload/2023/04/11/95a253a9-aa30-4ea2-a861-eb073f689ea2_%EC%86%8C%EC%84%A43.jpg HTTP/1.1" 200 81909
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /upload/2023/04/11/7f5d06cd-12c9-46f3-ad3f-e1c7f9ffdb4e_%EC%86%8C%EC%84%A41.jpg HTTP/1.1" 200 59279
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:23:17 +0900] "GET /upload/2023/04/11/6f88dc82-1873-4258-9dbd-3f5fdf7c77d7_%EC%86%8C%EC%84%A42.jpg HTTP/1.1" 200 85520
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:24:43 +0900] "GET / HTTP/1.1" 200 17331
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:24:44 +0900] "GET /resources/img/main-slide-ad2.jpg HTTP/1.1" 200 1620458
