127.0.0.1 - - [10/May/2023:13:17:43 +0900] "GET / HTTP/1.1" 200 17349
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET / HTTP/1.1" 200 17349
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/logo.jpg HTTP/1.1" 200 71699
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/main-slide-ad1.jpg HTTP/1.1" 200 308588
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/main-slide-ad2.jpg HTTP/1.1" 200 1620458
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/main-slide-ad3.jpg HTTP/1.1" 200 143559
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/mini-ad1.jpg HTTP/1.1" 200 308428
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /upload/2023/04/11/6f88dc82-1873-4258-9dbd-3f5fdf7c77d7_%EC%86%8C%EC%84%A42.jpg HTTP/1.1" 200 85520
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /upload/2023/04/11/7f5d06cd-12c9-46f3-ad3f-e1c7f9ffdb4e_%EC%86%8C%EC%84%A41.jpg HTTP/1.1" 200 59279
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /upload/2023/04/11/95a253a9-aa30-4ea2-a861-eb073f689ea2_%EC%86%8C%EC%84%A43.jpg HTTP/1.1" 200 81909
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/logo2.png HTTP/1.1" 200 24561
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /resources/img/newYearAD.jpg HTTP/1.1" 200 531063
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:44 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /book/bkDetailView?book_num=7 HTTP/1.1" 200 12804
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /resources/img/downArrow.png HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /resources/img/upArrow.png HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /resources/js/reviewComment.js HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /resources/js/bookDetailCnt.js HTTP/1.1" 200 3752
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:48 +0900] "GET /resources/css/bookDetailView.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [10/May/2023:13:17:49 +0900] "GET /review/7 HTTP/1.1" 200 277
